category,brand,name,price,avg_rating,num_ratings
Hair Care,CÉCRED,Restoring Hair & Edge Drops,$56.00,4.5,529.0
Hair Care,Redken,All Soft Conditioner,$11.00 - $56.00,4.4,1202.0
Hair Care,Redken,All Soft Shampoo,$11.00 - $56.00,4.0,1616.0
Hair Care,Shark Beauty,FlexStyle Air Styling & Drying System,$229.99,4.2,2392.0
Hair Care,Redken,"Extreme Length Shampoo For Longer, Stronger Hair ​",$29.00 - $56.00,4.1,1001.0
Hair Care,Bio Ionic,Long Barrel Curling Iron,$114.10,4.6,1875.0
Hair Care,Pureology,Hydrate Shampoo for Dry Hair,$12.00 - $90.00,4.4,5675.0
Hair Care,Pureology,Hydrate Conditioner for Dry Hair,$12.00 - $90.00,4.6,4525.0
Hair Care,Kenra Professional,Platinum Blow-Dry Spray,$16.00 - $42.00,4.7,2425.0
Hair Care,Redken,Extreme Length Conditioner for Longer Stronger Hair​,$29.00 - $56.00,4.3,672.0
Hair Care,Madison Reed,Radiant Hair Color Kit,$35.00,4.1,48581.0
Hair Care,OLAPLEX,No.7 Bonding Hair Oil,$32.00 - $56.00,4.5,1076.0
Hair Care,OLAPLEX,"No.4 Bond Maintenance Strengthening, Hydrating Hair Repair Shampoo",$16.00 - $58.00,4.2,3848.0
Hair Care,Dyson,Airwrap i.d. Multi-styler and Dryer Straight+Wavy Hair,$549.99,4.0,2737.0
Hair Care,Redken,One United All-In-One Multi-Benefit Treatment,$15.00 - $45.00,4.5,2754.0
Hair Care,OLAPLEX,"No.5 Bond Maintenance Strengthening, Moisturizing Hair Repair Conditioner",$16.00 - $58.00,4.1,965.0
Hair Care,Redken,Acidic Bonding Concentrate Shampoo,$36.00 - $68.00,4.4,3127.0
Hair Care,Pureology,Color Fanatic Multi-Tasking Leave-In Conditioner,$13.00 - $55.00,4.5,4327.0
Hair Care,Biolage,Color Last Shampoo for Color-Treated Hair,$6.50 - $45.00,4.5,3512.0
Hair Care,Redken,Acidic Bonding Concentrate Conditioner,$36.00 - $68.00,4.5,1942.0
Hair Care,Redken,Color Extend Magnetics Sulfate-Free Shampoo,$29.00 - $56.00,4.0,1398.0
Hair Care,OLAPLEX,No.3PLUS Complete Bond Repair Pre-Shampoo Hair Treatment,$34.00 - $68.00,4.7,332.0
Hair Care,OUAI,Clarifying Detox Shampoo,$16.00 - $68.00,4.6,1641.0
Hair Care,Moroccanoil,Moroccanoil Treatment Hair Oil,$20.00 - $50.00,4.8,132.0
Hair Care,Biolage,Color Last Conditioner for Color-Treated Hair,$6.50 - $45.00,4.7,1687.0
Hair Care,amika,Perk Up Dry Shampoo,$16.00 - $42.00,4.8,1400.0
Hair Care,Matrix,Food For Soft Hydrating Shampoo,$8.50 - $46.00,4.6,1341.0
Hair Care,T3,SinglePass Curl X Ceramic Extra-Long Barrel Curling Iron,$159.99,4.4,1627.0
Hair Care,NUTRAFOL,Women's Balance 45+ Clinically Proven Hair Growth Supplement,$88.00,4.6,71.0
Hair Care,OUAI,St. Barts Hair & Body Mist,$28.00 - $38.00,4.7,1267.0
Hair Care,Matrix,Food For Soft Detangling Hydrating Conditioner,$8.50 - $46.00,4.6,814.0
Hair Care,The Ordinary,"Multi-Peptide Serum for Hair Density for Thicker, Fuller Looking Hair",$15.00 - $24.00,4.0,876.0
Hair Care,Redken,Volume Injection Shampoo,$29.00 - $56.00,4.1,759.0
Hair Care,amika,Soulfood Nourishing Mask,$20.00 - $36.00,4.9,2496.0
Hair Care,Living Proof,Perfect Hair Day Dry Shampoo,$18.00 - $45.00,4.5,2989.0
Hair Care,Hot Tools,Pro Artist 24K Gold Collection Extended Barrel Curling Iron,$59.49 - $79.99,4.2,336.0
Hair Care,amika,The Wizard Detangling Primer,$16.00 - $59.00,4.9,3340.0
Hair Care,OUAI,Shampoo for Fine Hair,$16.00 - $64.00,3.8,736.0
Hair Care,CÉCRED,Hydrating Shampoo,$16.00 - $90.00,4.6,924.0
Hair Care,Redken,Acidic Bonding Concentrate Leave-In Treatment for Hair Repair,$36.00,4.5,3907.0
Hair Care,Redken,Color Extend Magnetics Conditioner,$29.00 - $56.00,4.4,2441.0
Hair Care,Pureology,Strength Cure Shampoo for Damaged Hair,$12.00 - $90.00,4.6,3507.0
Hair Care,Kenra Professional,Volume Spray 25,$10.00 - $32.00,4.0,2300.0
Hair Care,Keracolor,Color + Clenditioner,$22.00,3.9,2322.0
Hair Care,BaBylissPRO,Nano Titanium Ultra-Thin Straightening Iron,$125.99,4.1,1380.0
Hair Care,BaBylissPRO,Nano Titanium Prima Styling Iron,$209.99,3.9,856.0
Hair Care,Pureology,Hydrate Sheer Shampoo,$12.00 - $90.00,4.2,1138.0
Hair Care,Pureology,Strength Cure Conditioner for Damaged Hair,$12.00 - $90.00,4.7,3047.0
Hair Care,CÉCRED,Nourishing Hair Oil,$22.00 - $45.00,4.7,752.0
Hair Care,CÉCRED,Hydrating Conditioner,$16.00 - $90.00,4.2,399.0
Hair Care,amika,Hydro Rush Intense Moisture Leave-In Conditioner,$14.00 - $31.00,4.8,716.0
Hair Care,Redken,Extreme Shampoo,$29.00 - $56.00,4.4,1475.0
Hair Care,Biolage,Ultra Hydra Source Conditioner for Very Dry Hair,$26.00 - $45.00,4.5,2414.0
Hair Care,OUAI,Conditioner for Fine Hair,$16.00 - $64.00,4.1,408.0
Hair Care,Redken,Acidic Color Gloss Sulfate Free Shampoo,$36.00 - $68.00,4.6,757.0
Hair Care,Pureology,Hydrate Sheer Conditioner,$12.00 - $90.00,4.2,995.0
Hair Care,Living Proof,Perfect Hair Day (PhD) Advanced Clean Dry Shampoo,$18.00 - $45.00,4.6,1822.0
Hair Care,Redken,Acidic Grow Full System Densifying Shampoo,$36.00 - $68.00,4.6,247.0
Hair Care,OUAI,Lightweight Hair Oil for Frizz Control,$18.00 - $32.00,4.6,2151.0
Hair Care,OUAI,Detangling And Frizz Control Leave In Conditioner,$18.00 - $32.00,4.2,1244.0
Hair Care,Matrix,Food For Soft Rich Hydrating Treatment Mask for Hair Repair,$15.00 - $45.00,4.7,1132.0
Hair Care,OLAPLEX,No.6 Bond Smoother Frizz Control Styling Hair Cream,$32.00,4.4,2228.0
Hair Care,CÉCRED,Clarifying Shampoo & Scalp Scrub,$19.00 - $109.00,4.8,676.0
Hair Care,Paul Mitchell,Tea Tree Special Shampoo,$9.50 - $50.00,4.5,4883.0
Hair Care,Color Wow,Dream Coat Supernatural Spray,$14.00 - $63.00,4.7,10965.0
Hair Care,Dyson,Airstrait Wet-to-Dry Straightener,$419.99,4.2,1436.0
Hair Care,Redken,Blondage Color Depositing Purple Shampoo,$29.00 - $56.00,4.4,1532.0
Hair Care,CÉCRED,Heat Activated Silk Glaze,$34.00,4.5,56.0
Hair Care,Shark Beauty,Shark Glam Hot Tool Air Styling & Drying System,$349.99,4.2,94.0
Hair Care,amika,Normcore Signature Shampoo,$27.00 - $66.00,4.8,3039.0
Hair Care,Redken,Extreme Conditioner,$29.00 - $56.00,4.5,1236.0
Hair Care,Biolage,Hydra Source Shampoo for Dry Hair,$6.50 - $45.00,4.4,2438.0
Hair Care,Redken,Volume Injection Conditioner,$29.00 - $56.00,4.5,417.0
Hair Care,Living Proof,Full Dry Volume & Texture Spray,$19.00 - $43.00,4.4,727.0
Hair Care,dpHUE,Gloss+,$39.00,4.0,2026.0
Hair Care,Redken,All Soft Mega Curls Conditioner,$29.00 - $56.00,4.6,635.0
Hair Care,Madison Reed,Root Perfection Root Touch Up Kit,$38.00,3.9,488.0
Hair Care,Redken,Frizz Dismiss Sulfate-Free Shampoo,$29.00 - $56.00,4.1,1121.0
Hair Care,PATTERN,Leave-In Conditioner,$12.00 - $49.00,4.7,5952.0
Hair Care,Redken,Acidic Color Gloss Conditioner,$36.00 - $68.00,4.7,700.0
Hair Care,Moroccanoil,Perfect Defense Heat Protectant,$15.00 - $32.00,4.6,109.0
Hair Care,Kenra Professional,Platinum Dry Texture Spray 6,$13.00 - $25.00,4.5,455.0
Hair Care,Redken,Frizz Dismiss Sulfate-Free Conditioner,$29.00 - $56.00,4.1,488.0
Hair Care,amika,Frizz-Me-Not Hydrating Anti-Frizz Treatment,$14.00 - $30.00,4.7,238.0
Hair Care,CÉCRED,Moisturizing Deep Conditioner,$16.00 - $96.00,4.7,645.0
Hair Care,Redken,Acidic Grow Full System Densifying Conditioner,$36.00 - $68.00,4.6,245.0
Hair Care,Divi,Scalp Serum,$28.00 - $136.00,4.6,13916.0
Hair Care,amika,Normcore Signature Conditioner,$27.00 - $66.00,4.9,2698.0
Hair Care,amika,Hydro Rush Intense Moisture Shampoo,$28.00 - $70.00,4.8,920.0
Hair Care,amika,Perk Up Ultra Oil Control Dry Shampoo,$18.00 - $45.00,4.5,403.0
Hair Care,Redken,Quick Blowout Heat Protectant Spray,$15.00 - $29.00,4.4,1932.0
Hair Care,IGK,Good Behavior Spirulina Protein Smoothing Spray,$16.00 - $58.00,4.0,2027.0
Hair Care,amika,Hydro Rush Intense Moisture Conditioner,$28.00 - $70.00,4.8,781.0
Hair Care,NUTRAFOL,Women's 18-44 Clinically Proven Hair Growth Supplement,$88.00,4.3,76.0
Hair Care,Bumble and bumble,Hairdresser's Invisible Oil Heat Protectant Leave In Conditioner Primer,$16.00 - $44.00,4.7,1864.0
Hair Care,Redken,Acidic Bonding Concentrate 5 Minute Liquid Mask,$15.00 - $44.00,4.6,752.0
Hair Care,It's A 10,Miracle Leave-In Product,$13.00 - $40.00,4.6,3292.0
Hair Care,amika,Superfruit Star Lightweight Hair Styling Oil,$22.00 - $32.00,4.8,339.0
Hair Care,Redken,All Soft Mega Curls Shampoo,$29.00 - $56.00,4.4,379.0
Hair Care,CÉCRED,Thermal Shield Mist,$30.00,4.4,36.0
Hair Care,Verb,Ghost Weightless Hair Oil,$22.00 - $36.00,4.7,565.0
Hair Care,amika,Hydro Rush Intense Moisture Mask,$44.00 - $64.00,4.9,494.0
Hair Care,amika,Perk Up Plus Extended Clean Dry Shampoo,$18.00 - $45.00,4.8,943.0
Hair Care,OUAI,Conditioner for Medium Hair,$16.00 - $64.00,4.3,343.0
Hair Care,Biolage,Ultra Hydra Source Shampoo for Very Dry Hair,$26.00 - $45.00,4.4,3886.0
Hair Care,Moroccanoil,Moroccanoil Treatment Light Hair Oil,$20.00 - $50.00,4.9,108.0
Hair Care,OUAI,Shampoo for Medium Hair,$16.00 - $64.00,4.1,395.0
Hair Care,Paul Mitchell,Super Skinny Serum,$12.00 - $41.00,4.7,3156.0
Hair Care,Arctic Fox,Semi-Permanent Hair Color,$18.49,3.7,921.0
Hair Care,CÉCRED,Moisture Sealing Lotion,$19.00 - $39.00,4.7,671.0
Hair Care,Olivia Garden,Ceramic + Ion Thermal Hairbrush,$25.95 - $38.95,4.5,1255.0
Hair Care,BaBylissPRO,Nano Titanium Spring Curling Iron,$74.99,4.1,724.0
Hair Care,Color Wow,Root Cover Up Powder,$34.50,4.1,1477.0
Hair Care,CÉCRED,Hydration Hero Kit,$40.00,3.9,71.0
Hair Care,Living Proof,Style Lab Flex Hairspray,$18.00 - $42.00,4.5,387.0
Hair Care,amika,The Shield Anti-Humidity Spray,$14.00 - $32.00,4.7,1666.0
Hair Care,Biolage,Volume Boost Shampoo for Fine Hair,$26.00 - $45.00,4.4,3886.0
Hair Care,Dyson,Supersonic Nural Hair Dryer,$379.99,4.1,1309.0
Hair Care,IGK,Permanent Color Kit,$31.00,3.9,1547.0
Hair Care,Rizos Curls,Curl Defining Cream,$11.00 - $23.00,4.5,444.0
Hair Care,amika,Fluxus Touchable Hairspray,$15.00 - $26.00,4.8,1544.0
Hair Care,OLAPLEX,No.4P Hair Brightening & Toning Purple Shampoo,$34.00,4.2,1368.0
Hair Care,BaBylissPRO,Nano Titanium XL Spring Curling Iron,$62.99,4.0,274.0
Hair Care,amika,Un.Done Texture Spray,$17.00 - $30.00,4.8,1289.0
Hair Care,CÉCRED,Reconstructing Treatment Mask,$22.00 - $44.00,4.8,381.0
Hair Care,Bondi Boost,Infrared Thermal Brush,$125.00,4.4,570.0
Hair Care,Dyson,Airwrap Co-anda2x Multi-Styler and Dryer Straight+Wavy,$749.99,4.5,243.0
Hair Care,BaBylissPRO,Nano Titanium Ionic Straightening Iron,$179.99,4.3,825.0
Hair Care,Matrix,Food For Soft Multi-Use Hair Oil Serum,$21.00 - $34.00,4.7,1788.0
Hair Care,Matrix,Brass Off Blue Shampoo for Brunettes,$22.00 - $46.00,4.3,1053.0
Hair Care,Moroccanoil,Moroccanoil Treatment Hair Oil Mist,$20.00 - $50.00,4.9,114.0
Hair Care,Sexy Hair,Big Sexy Hair Spray & Play Volumizing Hairspray,$10.00 - $29.55,4.6,2925.0
Hair Care,PATTERN,Hydration Shampoo,$12.00 - $45.00,4.6,4463.0
Hair Care,Bumble and bumble,Thickening Dryspun Texture Spray,$16.00 - $53.00,4.4,1584.0
Hair Care,Color Wow,Xtra Large Bombshell Volumizer,$12.00 - $28.00,4.1,5286.0
Hair Care,Living Proof,Full Shampoo,$17.00 - $82.00,4.8,297.0
Hair Care,CÉCRED,Strong Hold Gel,$32.00,4.6,36.0
Hair Care,Curlsmith,Weightless Air Dry Cream,$12.50 - $40.00,4.6,2576.0
Hair Care,IGK,Color Depositing Conditioning Hair Mask,$32.00,4.2,1582.0
Hair Care,Moroccanoil,Hydrating Shampoo,$14.00 - $30.00,4.1,64.0
Hair Care,CHI,"Lava 1 1/2"" Hairstyling Iron",$149.99,4.2,20.0
Hair Care,Matrix,Miracle Creator Multi-Benefit Leave-In Conditioner Spray,$15.00 - $36.00,4.5,1135.0
Hair Care,Pureology,Pure Volume Shampoo,$12.00 - $90.00,3.6,767.0
Hair Care,Madison Reed,ColorWonder Demi-Permanent,$34.00,4.3,1001.0
Hair Care,Bondi Boost,HG Shampoo for Thinning Hair,$16.00 - $34.00,4.6,12314.0
Hair Care,Moroccanoil,Hydrating Conditioner,$14.00 - $30.00,4.6,50.0
Hair Care,It's A 10,Miracle Leave-In Conditioner Plus Keratin,$16.00 - $45.00,4.7,1638.0
Hair Care,Redken,Acidic Bonding Concentrate Travel Kit for Damaged Hair,$30.00,4.0,189.0
Hair Care,Rizos Curls,Curl Defining Mousse,$11.00 - $23.00,4.2,140.0
Hair Care,Bio Ionic,10X Ultralight Speed Dryer,$162.99,4.8,223.0
Hair Care,Biolage,Full Rescue Shampoo for Thin Hair,$30.00 - $56.00,4.5,965.0
Hair Care,Eva Nyc,Therapy Session Deep Conditioning Hair Mask,$5.50 - $19.00,4.6,2892.0
Hair Care,Redken,Hair Cleansing Cream Clarifying Shampoo,$29.00 - $56.00,4.6,507.0
Hair Care,Shark Beauty,SpeedStyle Pro Flex Professional Performance High-Velocity Hair Dryer System,$169.99,4.4,300.0
Hair Care,Biolage,Hydra Source Conditioning Balm for Dry Hair,$6.50 - $52.00,4.6,842.0
Hair Care,amika,Big Hit Volumizing Shampoo,$29.00 - $77.00,4.7,234.0
Hair Care,Redken,Control Hairspray,$15.00 - $29.00,4.5,185.0
Hair Care,LolaVie,Glossing Detangler,$15.00 - $50.00,4.6,2312.0
Hair Care,Biolage,Volume Boost Conditioner for Fine Hair,$26.00 - $45.00,4.4,761.0
Hair Care,Redken,Blondage Color Depositing Purple Conditioner,$29.00 - $56.00,4.5,999.0
Hair Care,Verb,Ghost Shampoo,$10.00 - $46.00,4.4,1385.0
