category,brand,name,price,avg_rating,num_ratings
Body Care,Touchland,Power Mist Hydrating Hand Sanitizer,$10.00 - $12.00,4.7,2505.0
Body Care,MAËLYS,GET-DREAMY Overnight Toning Body Whip,$22.00 - $54.00,4.7,5047.0
Body Care,Sol de Janeiro,Cheirosa 62 Bum Bum Hair & Body Perfume Mist,$26.00 - $39.00,4.7,8751.0
Body Care,FENTY SKIN body,Allover Body Mist,$35.00,4.5,405.0
Body Care,Saltair,Nourishing Body Oil with Squalane,$23.00,4.3,1630.0
Body Care,Supergoop!,Unseen Sunscreen SPF 50 Invisible Sun Protection,$19.00 - $48.00,4.7,1068.0
Body Care,Sol de Janeiro,Cheirosa 68 Hair & Body Perfume Mist,$26.00 - $39.00,4.8,2326.0
Body Care,Sol de Janeiro,Cheirosa 48 Hair & Body Perfume Mist,$26.00 - $39.00,4.7,2876.0
Body Care,Sol de Janeiro,Cheirosa 40 Hair & Body Perfume Mist,$26.00 - $39.00,4.7,4691.0
Body Care,Saltair,Multi-Lipid Replenishing Body Butter,$21.00,4.6,386.0
Body Care,OSEA,Undaria Algae Body Oil,$16.00 - $84.00,4.7,3649.0
Body Care,Sol de Janeiro,Brazilian Bum Bum Visibly Firming Refillable Body Cream with Caffeine-Rich Guaraná,$24.00 - $48.00,4.9,27478.0
Body Care,La Roche-Posay,Cicaplast Balm B5 Soothing Therapeutic Multi Purpose Cream,$20.99 - $32.99,4.7,3076.0
Body Care,Sol de Janeiro,Cheirosa 59 Hair & Body Perfume Mist,$26.00 - $39.00,4.8,434.0
Body Care,Coco & Eve,Sunny Honey Bali Bronzing Foam,$38.00,4.7,8316.0
Body Care,Sol de Janeiro,Cheirosa 68 Jelly Perfume Balm,$26.00,4.4,348.0
Body Care,Sol de Janeiro,Cheirosa Perfume Mist Discovery Set,$28.00,5.0,29.0
Body Care,Saltair,5% AHA Serum Deodorant,$13.00,3.9,1141.0
Body Care,Sol de Janeiro,Cheirosa 40 Jelly Perfume Balm,$26.00,4.5,341.0
