category,brand,name,price,avg_rating,num_ratings
Fragrance,Carolina Herrera,La Bomba Eau de Parfum,$99.00 - $165.00,4.5,289.0
Fragrance,Valentino,Donna Born In Roma Eau de Parfum,$37.00 - $180.00,4.8,6255.0
Fragrance,Sol de Janeiro,Cheirosa 62 Bum Bum Hair & Body Perfume Mist,$26.00 - $39.00,4.7,8751.0
Fragrance,FENTY SKIN body,Allover Body Mist,$35.00,4.5,405.0
Fragrance,Yves Saint Laurent,MYSLF Eau de Parfum,$38.00 - $198.00,4.7,3917.0
Fragrance,Sol de Janeiro,Cheirosa 68 Hair & Body Perfume Mist,$26.00 - $39.00,4.8,2326.0
Fragrance,Sol de Janeiro,Cheirosa 48 Hair & Body Perfume Mist,$26.00 - $39.00,4.7,2876.0
Fragrance,Sol de Janeiro,Cheirosa 40 Hair & Body Perfume Mist,$26.00 - $39.00,4.7,4691.0
Fragrance,Prada,Paradigme Eau de Parfum,$37.00 - $195.00,4.7,1964.0
Fragrance,Carolina Herrera,Good Girl Blush Eau de Parfum,$39.00 - $205.00,4.5,1208.0
Fragrance,Balmain Paris,Destin De Balmain Eau de Parfum,$33.00 - $185.00,4.7,1980.0
Fragrance,Dolce&Gabbana,My Devotion Eau de Parfum Intense,$39.00 - $184.00,4.5,196.0
Fragrance,Yves Saint Laurent,Y Eau de Parfum,$38.00 - $230.00,4.7,4766.0
Fragrance,Burberry,Burberry Goddess Eau de Parfum,$40.00 - $181.00,4.7,2350.0
Fragrance,Billie Eilish,Eilish Eau de Parfum,$30.00 - $82.00,4.4,3597.0
Fragrance,Yves Saint Laurent,Libre Eau de Parfum,$38.00 - $225.00,4.6,5676.0
Fragrance,Dolce&Gabbana,Light Blue Eau de Toilette,$38.00 - $198.00,4.4,200.0
Fragrance,ARMANI,Acqua di Giò Profondo Eau de Parfum,$88.00 - $155.00,4.5,17.0
Fragrance,Yves Saint Laurent,Libre Berry Crush Eau de Parfum,$38.00 - $180.00,4.7,1678.0
Fragrance,Carolina Herrera,Good Girl Jasmine Absolute Eau de Parfum,$39.00 - $184.00,4.6,221.0
Fragrance,Burberry,Her Elixir de Parfum,$40.00 - $190.00,4.6,3148.0
Fragrance,Carolina Herrera,Good Girl Eau de Parfum,$37.00 - $194.00,4.7,2789.0
Fragrance,Lancôme,La Vie Est Belle Eau de Parfum,$35.00 - $164.00,4.7,11508.0
Fragrance,Valentino,Donna Born in Roma Coral Fantasy Eau de Parfum,$37.00 - $180.00,4.8,2104.0
Fragrance,KYLIE COSMETICS,Cosmic Kylie Jenner Intense Eau de Parfum,$29.00 - $86.00,4.5,979.0
Fragrance,Burberry,Her Eau de Parfum,$40.00 - $225.00,4.6,4000.0
Fragrance,Sol de Janeiro,Cheirosa 59 Hair & Body Perfume Mist,$26.00 - $39.00,4.8,434.0
Fragrance,Dior,Sauvage Eau de Parfum,$90.00 - $289.00,4.7,4583.0
Fragrance,KYLIE COSMETICS,Cosmic Kylie Jenner Eau de Parfum,$29.00 - $84.00,4.3,3740.0
Fragrance,Sol de Janeiro,Cheirosa 68 Jelly Perfume Balm,$26.00,4.4,348.0
Fragrance,Yves Saint Laurent,MYSLF Le Parfum,$39.00 - $232.00,4.7,1955.0
Fragrance,Prada,Paradoxe Eau de Parfum,$38.00 - $180.00,4.7,2328.0
Fragrance,Sol de Janeiro,Cheirosa Perfume Mist Discovery Set,$28.00,5.0,29.0
Fragrance,KHLOÉ KARDASHIAN,XO KHLOÉ Eau de Parfum,$32.00 - $80.00,4.4,1150.0
Fragrance,Sol de Janeiro,Cheirosa 40 Jelly Perfume Balm,$26.00,4.5,341.0
Fragrance,Sol de Janeiro,Cheirosa 62 Jelly Perfume Balm,$26.00,4.5,355.0
Fragrance,Saltair,Fine Fragrance Body Mist,$17.00,4.2,790.0
Fragrance,Prada,Paradoxe Intense Eau De Parfum,$40.00 - $185.00,4.6,992.0
Fragrance,Dior,Sauvage Elixir,$199.00 - $330.00,4.6,4577.0
Fragrance,ARMANI,Emporio Armani Power of You Eau de Parfum,$78.00 - $138.00,4.6,1512.0
Fragrance,BETTER WORLD FRAGRANCE HOUSE,Summer Mink Eau de Parfum,$38.00 - $152.00,4.6,522.0
Fragrance,Yves Saint Laurent,Libre Eau de Parfum Intense,$40.00 - $185.00,4.8,1479.0
Fragrance,Gucci,Flora Gorgeous Gardenia Eau de Parfum,$40.00 - $181.00,4.6,4752.0
Fragrance,Ariana Grande,Cloud Eau de Parfum,$28.00 - $72.00,4.3,3292.0
Fragrance,Valentino,Donna Born in Roma Purple Melancholia Eau de Parfum,$110.00 - $180.00,4.6,1745.0
Fragrance,Valentino,Born in Roma Donna Extradose Parfum,$40.00 - $205.00,4.8,1891.0
Fragrance,Valentino,Uomo Born in Roma Purple Melancholia Eau de Toilette,$110.00 - $136.00,4.7,1593.0
Fragrance,ARMANI,Acqua di Giò Eau de Toilette,$62.00 - $175.00,4.7,4368.0
Fragrance,OUAI,St. Barts Hair & Body Mist,$28.00 - $38.00,4.7,1267.0
Fragrance,CHANEL,COCO MADEMOISELLE Eau de Parfum Spray,$154.00 - $185.00,4.5,421.0
Fragrance,Marc Jacobs,Perfect Eau de Parfum,$37.00 - $165.00,4.6,3203.0
