category,brand,name,price,avg_rating,num_ratings
Makeup,Estée Lauder,Double Wear Stay-in-Place Longwear Matte Foundation,$52.00,4.4,9491.0
Makeup,NARS,Radiant Creamy Concealer,$36.00,4.6,7030.0
Makeup,IT Cosmetics,CC+ Cream with SPF 50+,$39.00,4.3,21958.0
Makeup,Benefit Cosmetics,"Precisely, My Brow Pencil Waterproof Eyebrow Definer",$28.00,4.6,8926.0
Makeup,MAC,Lip Liner Pencil,$25.00,4.7,2007.0
Makeup,MAC,Studio Fix Powder Plus Foundation,$39.00,3.6,2720.0
Makeup,L'Oréal,Infallible 3-Second Setting Mist Spray,$13.99 - $19.99,3.8,439.0
Makeup,IT Cosmetics,Do It All Sheer Tint Face Balm,$34.00,4.5,3331.0
Makeup,Tarte,Shape Tape Concealer,$32.00,4.7,37858.0
Makeup,Rare Beauty,Soft Pinch Liquid Blush,$25.00,4.9,3502.0
Makeup,KYLIE COSMETICS,Skin Tint Blurring Elixir Foundation,$34.00,4.5,1426.0
Makeup,HOURGLASS,Vanish Airbrush Concealer,$39.00,4.3,773.0
Makeup,Charlotte Tilbury,Airbrush Flawless Hydrating & Waterproof Setting Spray,$25.00 - $59.00,4.1,267.0
Makeup,Lancôme,Teint Idole Ultra Wear 24H Full Coverage Foundation,$53.00,4.5,10848.0
Makeup,MAC,Studio Fix Fluid SPF15 24HR Matte Foundation + Oil Control,$39.00,4.0,1639.0
Makeup,MAC,M·A·Cximal Silky Matte Lipstick,$25.00,4.6,1677.0
Makeup,Morphe,Cheek Thrills Multi-Finish Face Trio,$19.00,4.8,1629.0
Makeup,NARS,Light Reflecting Advanced Skincare Foundation,$55.00,4.5,3435.0
Makeup,Clinique,Even Better Makeup Broad Spectrum SPF 15 Foundation,$29.25,4.4,4119.0
Makeup,Too Faced,Born This Way Super Coverage Multi-Use Concealer,$36.00,4.3,2895.0
Makeup,Anastasia Beverly Hills,Brow Wiz Precision Eyebrow Pencil,$26.00,4.6,22697.0
Makeup,Clinique,Almost Lipstick,$18.75,4.5,3311.0
Makeup,NYX Professional Makeup,Lingerie Lip Liner Stain,$12.00,4.2,702.0
Makeup,Tarte,Tartelette Tubing Mascara,$28.00,4.1,1837.0
Makeup,ILIA,Super Serum Skin Tint SPF 40 - Hydrating Foundation,$48.00,4.4,6555.0
Makeup,bareMinerals,COMPLEXION RESCUE Tinted Moisturizer with Hyaluronic Acid and Mineral SPF 30,$39.50,4.4,8571.0
Makeup,Charlotte Tilbury,Airbrush Flawless Finish Blurring & Setting Powder,$50.00,4.5,552.0
Makeup,Tarte,Shape Tape Creamy Concealer,$32.00,4.3,2032.0
Makeup,Urban Decay Cosmetics,All Nighter Waterproof Makeup Setting Spray,$18.00 - $34.00,4.6,3210.0
Makeup,MAC,M·A·Cximal Sleek Satin Lipstick,$25.00,4.6,1310.0
Makeup,Morphe,Lifeproof 16-Hour Continuous Setting Mist,$15.00 - $20.00,4.8,683.0
Makeup,Supergoop!,Unseen Sunscreen SPF 50 Invisible Sun Protection,$19.00 - $48.00,4.7,1068.0
Makeup,OLEHENRIKSEN,Pout Preserve Hydrating Peptide Lip Treatment,$12.00 - $24.00,4.5,977.0
Makeup,e.l.f. Cosmetics,Power Grip Primer,$11.00,4.6,21954.0
Makeup,bareMinerals,ORIGINAL Loose Talc-Free Mineral Powder Foundation SPF 15,$39.50,4.6,14893.0
Makeup,SACHEU,Peel Off Lip Liner STAY-N,$14.00,4.4,4845.0
