category,brand,name,price,avg_rating,num_ratings
Tools,Shark Beauty,FlexStyle Air Styling & Drying System,$229.99,4.2,2392.0
Tools,Bio Ionic,Long Barrel Curling Iron,$114.10,4.6,1875.0
Tools,Dyson,Airwrap i.d. Multi-styler and Dryer Straight+Wavy Hair,$549.99,4.0,2737.0
Tools,Shark Beauty,CryoGlow Under-Eye Cooling+LED Anti-Aging & Skin Clearing Face Mask,$349.99,4.3,246.0
Tools,Shiseido,Eyelash Curler,$28.00,4.6,2362.0
Tools,T3,SinglePass Curl X Ceramic Extra-Long Barrel Curling Iron,$159.99,4.4,1627.0
Tools,Hot Tools,Pro Artist 24K Gold Collection Extended Barrel Curling Iron,$59.49 - $79.99,4.2,336.0
Tools,Morphe,Best of Blends 8-Piece Face & Eye Brush Set,$42.00,4.8,120.0
Tools,Real Techniques,Full Beat Makeup Brush Set,$25.00,4.7,82.0
Tools,Morphe,Portrait Mode 5-Piece Face Brush Set,$33.00,4.6,95.0
Tools,Morphe,Buttery Blends 6-Piece Travel Brush Set,$30.00,4.9,364.0
Tools,BaBylissPRO,Nano Titanium Ultra-Thin Straightening Iron,$125.99,4.1,1380.0
Tools,BaBylissPRO,Nano Titanium Prima Styling Iron,$209.99,3.9,856.0
Tools,Morphe,Buttery Blends 4-Piece Face Brush Set,$28.00,4.9,183.0
Tools,Dyson,Airstrait Wet-to-Dry Straightener,$419.99,4.2,1436.0
Tools,Shark Beauty,Shark Glam Hot Tool Air Styling & Drying System,$349.99,4.2,94.0
Tools,Morphe,Along for the Glide 6-Piece Travel Brush Set,$30.00,4.8,107.0
Tools,Morphe,M132 Angled Concealer Brush,$11.00,4.8,118.0
Tools,medicube,Booster Pro,$220.00,3.8,32.0
Tools,IT Cosmetics,Heavenly Luxe Complexion Perfection Brush #7,$50.00,4.7,2559.0
Tools,Morphe,Eye Want It All 7-Piece Eye Brush Set,$28.00,4.8,53.0
Tools,Olivia Garden,Ceramic + Ion Thermal Hairbrush,$25.95 - $38.95,4.5,1255.0
Tools,Morphe,M103 Angled Cream & Liquid Foundation Brush,$15.00,5.0,24.0
Tools,BaBylissPRO,Nano Titanium Spring Curling Iron,$74.99,4.1,724.0
Tools,Morphe,M104 Domed Foundation Brush,$17.00,4.9,75.0
Tools,Dyson,Supersonic Nural Hair Dryer,$379.99,4.1,1309.0
Tools,Morphe,M240 Dual-Ended Cream & Powder Sculpt Brush,$22.00,4.9,67.0
Tools,BaBylissPRO,Nano Titanium XL Spring Curling Iron,$62.99,4.0,274.0
Tools,Bondi Boost,Infrared Thermal Brush,$125.00,4.4,570.0
Tools,Dyson,Airwrap Co-anda2x Multi-Styler and Dryer Straight+Wavy,$749.99,4.5,243.0
Tools,Real Techniques,Miracle Complexion Makeup Sponge Duo,$11.50,4.6,3597.0
Tools,BaBylissPRO,Nano Titanium Ionic Straightening Iron,$179.99,4.3,825.0
Tools,Tweezerman,Slant Tweezer,$25.00 - $28.00,4.6,2765.0
Tools,Morphe,M200 Dual-Ended Cream & Powder Blush Brush,$20.00,4.8,56.0
Tools,Real Techniques,Miracle Complexion Makeup Blending Sponge,$7.00,4.5,6109.0
Tools,beautyblender,Original Beautyblender Makeup Sponge,$20.00,4.6,1641.0
Tools,DIBS Beauty,Duo Brush Face for Cream + Powder,$36.00,4.9,2780.0
Tools,CHI,"Lava 1 1/2"" Hairstyling Iron",$149.99,4.2,20.0
Tools,Morphe,M106 Flat-Topped Cream & Liquid Foundation Brush,$17.00,4.4,72.0
Tools,Redken,Acidic Bonding Concentrate Travel Kit for Damaged Hair,$30.00,4.0,189.0
Tools,Bio Ionic,10X Ultralight Speed Dryer,$162.99,4.8,223.0
Tools,Shark Beauty,SpeedStyle Pro Flex Professional Performance High-Velocity Hair Dryer System,$169.99,4.4,300.0
Tools,Morphe,M241 Angled Powder Bronzer Brush,$15.00,5.0,21.0
