category,brand,name,price,avg_rating,num_ratings
Wellness,Lemme,Purr: Vaginal Health Gummies,$9.99 - $30.00,4.5,2360.0
Wellness,NUTRAFOL,Women's Balance 45+ Clinically Proven Hair Growth Supplement,$88.00,4.6,71.0
Wellness,Lemme,Debloat: Daily Digestive Gummies,$9.99 - $30.00,4.6,2653.0
Wellness,Lemme,Sleep: Sleep Tight Gummies,$9.99 - $30.00,4.5,1822.0
Wellness,Nemat,Amber Fragrance Oil Roll-On,$20.99,3.9,789.0
Wellness,NUTRAFOL,Women's 18-44 Clinically Proven Hair Growth Supplement,$88.00,4.3,76.0
Wellness,Nemat,Vanilla Musk Fragrance Oil Roll-On,$20.99,4.4,215.0
Wellness,Nemat,Amber Eau de Parfum,$20.99 - $59.99,3.3,258.0
Wellness,MaryRuth's,Liquid Morning Multivitamin + Hair Growth Peach Mango,$39.95 - $74.95,4.5,3160.0
Wellness,Patchology,Serve Chilled On Ice Cooling & Firming Under Eye Gel Patches,$4.00 - $40.00,4.5,122.0
Wellness,Kitsch,Satin Pillowcase,$20.00,4.9,12783.0
Wellness,Nemat,Vanilla Musk Eau de Parfum,$20.99 - $59.99,3.7,133.0
Wellness,Shark Beauty,"FacialPro Glow, Glow-Boosting At-Home Facial System",$299.99,4.8,147.0
Wellness,Lemme,Burn: Metabolism & Fat-Burning Capsules,$40.00,4.4,2008.0
Wellness,MaryRuth's,Organic Lymphatic Support Herbal Blend,$19.95,4.7,43.0
Wellness,Nemat,Amber Fragrance Oil,$20.99,3.9,355.0
Wellness,Nemat,Vanilla Musk Fragrance Oil,$20.99,4.3,467.0
Wellness,Touchland,Glow Mist Rosewater Revitalizing Hand Sanitizer,$16.00,4.5,148.0
Wellness,Therabody,TheraFace Mask Glo with Vibration Therapy,$379.99,4.7,44.0
Wellness,Kitsch,Adjustable Oversized Satin Bonnet,$18.00,4.4,304.0
Wellness,Fur,Fur Oil,$28.00 - $55.00,4.8,1591.0
Wellness,Touchland,Gentle Mist Lily Of The Valley Ultra-Soothing Hand Sanitizer,$16.00,4.3,68.0
Wellness,Love Wellness,pH Balanced Cleanser: Vulva Cleanser,$14.99 - $24.99,4.8,6218.0
Wellness,Lemme,"Glow: Hair, Skin & Nails Gummies",$30.00,4.7,1149.0
Wellness,Bushbalm,2 Step Ingrown Hair & Razor Bump Kit,$44.10,4.1,280.0
Wellness,Lemme,Purr: Vaginal Odor & pH Balance Probiotic Capsules,$30.00,4.4,274.0
Wellness,Peter Thomas Roth,24K Gold Pure Luxury Lift & Firm Hydra-Gel Eye Patches,$75.00,3.8,109.0
Wellness,Bushbalm,Ingrown Hair Exfoliating Scrub,$23.00,4.6,410.0
Wellness,Lemme,Curb Chews: Cravings Support Soft Chews,$30.00,4.0,255.0
Wellness,Lemme,Burn: Body Composition Gummies,$30.00,,
Wellness,Nodpod,Weighted Blanket For Your Eyes,$38.00,4.2,91.0
Wellness,Lemme,Play: Daily Intimacy Gummies,$30.00,4.0,112.0
Wellness,Bushbalm,Ingrown Hair Oil,$26.00,4.5,514.0
Wellness,Peter Thomas Roth,Water Drench Hyaluronic Cloud Hydra-Gel Eye Patches,$56.00,4.2,192.0
Wellness,Love Wellness,Good Girl Probiotics: Vaginal Probiotic,$24.99,4.8,7250.0
Wellness,NUTRAFOL,Men's Clinically Proven Hair Growth Supplement,$88.00,4.8,16.0
Wellness,Peter Thomas Roth,Cucumber De-Tox Hydra-Gel Eye Patches,$56.00,4.4,162.0
Wellness,SACHEU,Stainless Steel Non-Porous Gua Sha,$32.00,4.9,2184.0
Wellness,Bushbalm,Francesca Pubic + Body Hair Trimmer,$65.00,4.5,407.0
Wellness,TheraBreath,Anticavity Fluoride Oral Rinse Sparkle Mint,$4.49 - $12.99,4.5,299.0
Wellness,Lemme,Chill: De-Stress Gummies,$30.00,4.5,1051.0
Wellness,SeroVital,Advanced Anti-Aging Dietary Supplement,$119.00,4.6,6931.0
Wellness,Earth Therapeutics,100% Jade Stone Soothing Facial Tool,$15.00,3.3,10.0
Wellness,Pixi,DetoxifEYE Depuffing Eye Patches with Caffeine and Cucumber,$10.00 - $24.00,4.2,207.0
Wellness,Jolie,The Jolie Filtered Showerhead,$169.00,4.2,31.0
Wellness,Baby Foot,Original Exfoliation Lavender Scented Foot Peel,$25.00,4.0,892.0
Wellness,Peter Thomas Roth,Potent-C Power Brightening Hydra-Gel Eye Patches,$65.00,3.1,41.0
Wellness,Sleepy Tie,Sleepy Tie Original,$20.99,3.4,69.0
Wellness,Patchology,Eye Want Cake Smoothing & Hydrating Eye Patches,$4.00 - $17.00,4.5,96.0
Wellness,TheraBreath,Whitening Fresh Breath Oral Rinse,$4.49 - $12.99,4.5,642.0
Wellness,Lemme,Debloat: Digestive Probiotic & Multi-Enzyme Capsules,$30.00,4.5,503.0
Wellness,Lemme,Grow: Hair Growth & Anti-Shedding Capsules,$50.00,4.5,133.0
Wellness,ARMRA Colostrum,Health Revival Travel Sticks,$39.99 - $49.99,5.0,2.0
Wellness,Sleepy Tie,Sleepy Tie Midnight,$20.99,4.0,25.0
Wellness,Nemat,Egyptian Musk Fragrance Oil Roll-On,$20.99,4.4,106.0
Wellness,Fur,Ingrown Concentrate,$34.00,4.8,1097.0
Wellness,Skin Gym,For the Love of Sleep Mouth Tape,$20.00,4.1,41.0
Wellness,Wakse,Rose Gold Hard Wax Beans,$26.00,4.4,437.0
Wellness,Lemme,Tone: Metabolism & Body Toning Gummies,$30.00,4.4,41.0
Wellness,Bushbalm,After Dark Brightening Gel for Dark Spots,$29.00,4.1,99.0
Wellness,Love Wellness,The Killer: Boric Acid Vaginal Suppositories,$17.99,4.8,4673.0
